text,uri,target
"**Question:**Rate your impression of the credibility of this article

**Answer:**Somewhat low credibility

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/,"[{""source"":""https://dailyhealthpost.com/preventing-alzheimers/""}]"
"**CredCo Indicator:**Title Representativeness

**Question:**Question: Does the title of the article accurately reflect the content of the article?

**Answer:**Completely Representative

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/,"[{""source"":""https://dailyhealthpost.com/preventing-alzheimers/""}]"
"**CredCo Indicator:**Clickbait Title

**Question:**Is the headline clickbaity?

**Answer:**Very much clickbaity

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/,"[{""source"":""https://dailyhealthpost.com/preventing-alzheimers/""}]"
"**CredCo Indicator:**Clickbait Title

**Question:**What clickbait techniques does this headline employ (select all that apply)?

**Answer:**Listicle (“6 Tips on …”)

**Highlight**:

9 Diet & Lifestyle Habit Changes

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/,"[{""source"":""https://dailyhealthpost.com/preventing-alzheimers/"",""selector"":[{""exact"":""9 Diet & Lifestyle Habit Changes"",""prefix"":""imer’s & Dementia Naturally – "",""type"":""TextQuoteSelector"",""suffix"":""\n\nAuthor: [Name of Publication""}]}]"
"**CredCo Indicator:**Clickbait Title

**Question:**What clickbait techniques does this headline employ (select all that apply)?

**Answer:**Hidden secret or trick (“Fitness Companies Hate Him...”, “Experts are Dying to Know Their Secret”)

**Highlight**:

Preventing Alzheimer’s & Dementia Naturally

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/,"[{""source"":""https://dailyhealthpost.com/preventing-alzheimers/"",""selector"":[{""exact"":""Preventing Alzheimer’s & Dementia Naturally"",""prefix"":""Title: "",""type"":""TextQuoteSelector"",""suffix"":"" – 9 Diet & Lifestyle Habit Ch""}]}]"
"**CredCo Indicator:**Single Study Article

**Question:**Is this article primarily about a single scientific study?

**Answer:**No

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/,"[{""source"":""https://dailyhealthpost.com/preventing-alzheimers/""}]"
"**Question:**Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.

**Answer:**Studies

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/,"[{""source"":""https://dailyhealthpost.com/preventing-alzheimers/""}]"
"**Question:**Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.

**Answer:**Organizations

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/,"[{""source"":""https://dailyhealthpost.com/preventing-alzheimers/""}]"
"**CredCo Indicator:**Citation of Studies

**Question:**Highlight each scientific study cited:

**Answer:**Scientific Study 1

**Highlight**:

In one study, researchers at the Cleveland Clinic in Ohio recruited almost 100 older men and women, aged 65 to 89, some of whom had a family history of Alzheimer’s disease. Half of these participants carried the carried the e4 gene, which substantially increased their risk of developing the disease (9).

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/,"[{""source"":""https://dailyhealthpost.com/preventing-alzheimers/"",""selector"":[{""exact"":""In one study, researchers at the Cleveland Clinic in Ohio recruited almost 100 older men and women, aged 65 to 89, some of whom had a family history of Alzheimer’s disease. Half of these participants carried the carried the e4 gene, which substantially increased their risk of developing the disease (9)."",""prefix"":""lood pressure, and more (8).\n\n"",""type"":""TextQuoteSelector"",""suffix"":""\n\nParticipants were split into""}]}]"
"**CredCo Indicator:**Citation of Studies

**Question:**Highlight each scientific study cited:

**Answer:**Scientific Study 1

**Highlight**:

(9).

Participants were split into four groups:

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/,"[{""source"":""https://dailyhealthpost.com/preventing-alzheimers/"",""selector"":[{""exact"":""(9).\n\nParticipants were split into four groups:"",""prefix"":""isk of developing the disease "",""type"":""TextQuoteSelector"",""suffix"":""\n\ne4-positive group who exerci""}]}]"
"**CredCo Indicator:**Citation of Studies

**Question:**Highlight each scientific study cited:

**Answer:**Scientific Study 1

**Highlight**:

Participants

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/,"[{""source"":""https://dailyhealthpost.com/preventing-alzheimers/"",""selector"":[{""exact"":""Participants"",""prefix"":"" developing the disease (9).\n\n"",""type"":""TextQuoteSelector"",""suffix"":"" were split into four groups:\n""}]}]"
"**CredCo Indicator:**Citation of Studies

**Question:**Highlight each scientific study cited:

**Answer:**Scientific Study 1

**Highlight**:

Participants were split into four groups:

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/,"[{""source"":""https://dailyhealthpost.com/preventing-alzheimers/"",""selector"":[{""exact"":""Participants were split into four groups:"",""prefix"":"" developing the disease (9).\n\n"",""type"":""TextQuoteSelector"",""suffix"":""\n\ne4-positive group who exerci""}]}]"
"**CredCo Indicator:**Citation of Studies

**Question:**Highlight each scientific study cited:

**Answer:**Scientific Study 1

**Highlight**:

e4-positive group who exercised
e4-positive group who did not exercise
e4-negative group who exercised
e4-negative group who did not exercise
The e4-positive group who did not exercise underwent significant atrophy of their hippocampus in as little as 18 months. In fact, the cerebral structure had shrunk by 3% on average. The e4 group that exercised experienced no change in their hippocampus and neither did the e4-negative groups.

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/,"[{""source"":""https://dailyhealthpost.com/preventing-alzheimers/"",""selector"":[{""exact"":""e4-positive group who exercised\ne4-positive group who did not exercise\ne4-negative group who exercised\ne4-negative group who did not exercise\nThe e4-positive group who did not exercise underwent significant atrophy of their hippocampus in as little as 18 months. In fact, the cerebral structure had shrunk by 3% on average. The e4 group that exercised experienced no change in their hippocampus and neither did the e4-negative groups."",""prefix"":""were split into four groups:\n\n"",""type"":""TextQuoteSelector"",""suffix"":""\n\nTo benefit your brain, exerc""}]}]"
"**CredCo Indicator:**Citation of Studies

**Question:**Highlight each scientific study cited:

**Answer:**Scientific Study 2

**Highlight**:

In fact, in a 6-year study examining 1,600 seniors, found that vitamin D deficiency was linked to Alzheimer’s Disease.

“…those who were severely deficient in vitamin D were more than twice as likely to develop Alzheimer’s and dementia than those who had adequate levels,” writes

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/,"[{""source"":""https://dailyhealthpost.com/preventing-alzheimers/"",""selector"":[{""exact"":""In fact, in a 6-year study examining 1,600 seniors, found that vitamin D deficiency was linked to Alzheimer’s Disease.\n\n“…those who were severely deficient in vitamin D were more than twice as likely to develop Alzheimer’s and dementia than those who had adequate levels,” writes"",""prefix"":""ealth and cognitive function. "",""type"":""TextQuoteSelector"",""suffix"":"" Alzheimer’s.net on the study ""}]}]"
"**CredCo Indicator:**Citation of Studies

**Question:**Highlight each scientific study cited:

**Answer:**Scientific Study 2

**Highlight**:

Alzheimer’s.net on the study (12).

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/,"[{""source"":""https://dailyhealthpost.com/preventing-alzheimers/"",""selector"":[{""exact"":""Alzheimer’s.net on the study (12)."",""prefix"":"" had adequate levels,” writes "",""type"":""TextQuoteSelector"",""suffix"":""\n\nTo get your share, walk outs""}]}]"
"**CredCo Indicator:**Citation of Studies

**Question:**Highlight each scientific study cited:

**Answer:**Scientific Study 3

**Highlight**:

In fact, a Canadian study found that being bilingual supports cognitive function and even delays the onset of dementia in patients with probable Alzheimer’s Disease by 4 years on average. For other varieties of dementia, the onset was delayed by 3 years on average.

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/,"[{""source"":""https://dailyhealthpost.com/preventing-alzheimers/"",""selector"":[{""exact"":""In fact, a Canadian study found that being bilingual supports cognitive function and even delays the onset of dementia in patients with probable Alzheimer’s Disease by 4 years on average. For other varieties of dementia, the onset was delayed by 3 years on average."",""prefix"":""d existing information (13).\n\n"",""type"":""TextQuoteSelector"",""suffix"":""\n\nFor more benefits, practice ""}]}]"
"**CredCo Indicator:**Citation of Studies

**Question:**Highlight each scientific study cited:

**Answer:**Scientific Study 4

**Highlight**:

Researchers at Duke University Medical Center in Durham, North Carolina examined 548 veterans with a  head injury and 1228 without head injury to yield these results (15).

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/,"[{""source"":""https://dailyhealthpost.com/preventing-alzheimers/"",""selector"":[{""exact"":""Researchers at Duke University Medical Center in Durham, North Carolina examined 548 veterans with a  head injury and 1228 without head injury to yield these results (15)."",""prefix"":""s after initial injury (14).\n\n"",""type"":""TextQuoteSelector"",""suffix"":""\nProtect your head by wearing ""}]}]"
"**CredCo Indicator:**Citation of Organizations

**Question:**Highlight each organization cited:

**Answer:**Cited Organization 1

**Highlight**:

According to the Alzheimer’s Society recommends drinking no more than 14 units of alcohol spread over 3 days a week. To put it in perspective, 125ml of wine is roughly 1.5 units while 1 pint of beer or cider is 2-2.5 units (17).

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/,"[{""source"":""https://dailyhealthpost.com/preventing-alzheimers/"",""selector"":[{""exact"":""According to the Alzheimer’s Society recommends drinking no more than 14 units of alcohol spread over 3 days a week. To put it in perspective, 125ml of wine is roughly 1.5 units while 1 pint of beer or cider is 2-2.5 units (17)."",""prefix"":""ith excessive drinking (16).\n\n"",""type"":""TextQuoteSelector"",""suffix"":""\n\n8. Track Your Numbers\nSince ""}]}]"
"**CredCo Indicator:**Citation of Organizations

**Question:**Highlight each organization cited:

**Answer:**Cited Organization 2

**Highlight**:

According to the Alzheimer’s Association: “Dementia is a general term for a decline in mental ability severe enough to interfere with daily life… Dementia is not a specific disease. It’s an overall term that describes a wide range of symptoms associated with a decline in memory or other thinking skills severe enough to reduce a person’s ability to perform everyday activities.” (2)

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/,"[{""source"":""https://dailyhealthpost.com/preventing-alzheimers/"",""selector"":[{""exact"":""According to the Alzheimer’s Association: “Dementia is a general term for a decline in mental ability severe enough to interfere with daily life… Dementia is not a specific disease. It’s an overall term that describes a wide range of symptoms associated with a decline in memory or other thinking skills severe enough to reduce a person’s ability to perform everyday activities.” (2)"",""prefix"":""it happens.\n\nWhat is Dementia\n"",""type"":""TextQuoteSelector"",""suffix"":""\n\nDementia is characterized by""}]}]"
